Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",147.772500,-105.820000,-90.000000,top
"C2","100nF","C_0402_1005Metric",146.292500,-105.030000,-90.000000,top
"C3","100nF","C_0402_1005Metric",150.992500,-98.600000,0.000000,top
"C4","10uF","C_0805_2012Metric",151.792500,-100.080000,0.000000,top
"C5","27p","C_0402_1005Metric",167.090000,-89.230000,180.000000,top
"C6","27p","C_0402_1005Metric",169.710000,-86.970000,90.000000,top
"C7","1uF","C_0603_1608Metric",155.300000,-98.070000,0.000000,top
"C8","1uF","C_0603_1608Metric",156.280000,-95.815000,90.000000,top
"C9","100nF","C_0402_1005Metric",155.870000,-99.280000,180.000000,top
"C10","100nF","C_0402_1005Metric",155.870000,-100.230000,180.000000,top
"C11","100nF","C_0402_1005Metric",153.880000,-95.880000,180.000000,top
"C12","100nF","C_0402_1005Metric",153.880000,-94.910000,180.000000,top
"C13","100nF","C_0402_1005Metric",153.660000,-93.370000,90.000000,top
"C14","100nF","C_0402_1005Metric",154.630000,-93.370000,90.000000,top
"C15","100nF","C_0402_1005Metric",155.590000,-93.370000,90.000000,top
"C16","100nF","C_0402_1005Metric",156.550000,-93.370000,90.000000,top
"C17","100nF","C_0402_1005Metric",153.880000,-96.835000,180.000000,top
"C18","1uF","C_0603_1608Metric",166.830000,-102.680000,180.000000,top
"C19","470pF","C_0402_1005Metric",158.275000,-77.110000,-90.000000,top
"C20","0.1uF","C_0402_1005Metric",161.935000,-61.190000,-90.000000,top
"C21","0.1uF","C_0402_1005Metric",162.935000,-61.190000,-90.000000,top
"C22","0.1uF","C_0402_1005Metric",160.935000,-61.190000,-90.000000,top
"C23","0.1uF","C_0402_1005Metric",159.935000,-61.190000,-90.000000,top
"C24","0.1uF","C_0402_1005Metric",163.935000,-61.190000,-90.000000,top
"C25","10uF Tantalum","CP_EIA-3216-18_Kemet-A",166.820000,-61.620000,0.000000,top
"C26","22pF","C_0402_1005Metric",154.427500,-71.705000,180.000000,top
"C27","33pF","C_0402_1005Metric",152.050833,-71.705000,180.000000,top
"C28","22pF","C_0402_1005Metric",149.674167,-71.705000,180.000000,top
"C29","22pF","C_0402_1005Metric",147.297500,-71.705000,180.000000,top
"C30","1pF","C_0402_1005Metric",153.940000,-68.240000,180.000000,top
"C31","5.6pF","C_0402_1005Metric",150.940000,-68.240000,180.000000,top
"C32","4.7pF","C_0402_1005Metric",147.940000,-68.240000,180.000000,top
"C33","470pF","C_0402_1005Metric",157.335000,-77.110000,-90.000000,top
"D1","SMF5V0A","D_SMF",151.142500,-105.270000,0.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",159.972540,-84.000000,0.000000,top
"J1","Conn_Coaxial","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount",179.722540,-70.500000,30.000000,top
"J2","Conn_Coaxial","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount",140.222540,-70.500000,150.000000,top
"J3","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",150.310000,-83.780000,0.000000,top
"J4","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",159.972540,-106.000000,0.000000,top
"L1","470nH","L_0603_1608Metric",153.865000,-70.460000,180.000000,top
"L2","390nH","L_0603_1608Metric",150.877500,-70.460000,180.000000,top
"L3","390nH","L_0603_1608Metric",147.877500,-70.460000,180.000000,top
"R1","5.1k","R_0603_1608Metric",152.012500,-107.210000,0.000000,top
"R2","5.1k","R_0603_1608Metric",152.012500,-108.710000,0.000000,top
"R3","5.6k","R_0603_1608Metric",152.012500,-103.340000,0.000000,top
"R4","10k","R_0603_1608Metric",152.012500,-101.840000,180.000000,top
"R5","1k","R_0603_1608Metric",167.080000,-84.450000,180.000000,top
"R6","27","R_0603_1608Metric",160.720000,-97.400000,90.000000,top
"R7","27","R_0603_1608Metric",159.220000,-97.400000,90.000000,top
"R8","10k","R_0603_1608Metric",169.840000,-102.680000,180.000000,top
"R9","1k","R_0603_1608Metric",172.850000,-102.680000,180.000000,top
"R10","1k","R_0603_1608Metric",165.145000,-65.120000,-90.000000,top
"R11","10k","R_0603_1608Metric",166.635000,-65.120000,-90.000000,top
"R12","3.9k","R_0603_1608Metric",157.605000,-65.120000,90.000000,top
"R13","100","R_0603_1608Metric",159.495000,-77.680000,90.000000,top
"R15","100","R_0603_1608Metric",160.995000,-77.680000,90.000000,top
"R16","200","R_0603_1608Metric",156.117500,-71.210000,-90.000000,top
"R17","200","R_0603_1608Metric",145.617500,-71.210000,-90.000000,top
"R19","330","R_0603_1608Metric",165.020000,-82.340000,180.000000,top
"SW1","SW_Push","SW_SPST_B3U-1000P",153.800000,-84.430000,-90.000000,top
"SW2","SW_Push","SW_SPST_B3U-1000P",171.930000,-105.110000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",144.600000,-95.357500,0.000000,top
"U2","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",161.150000,-91.750000,180.000000,top
"U3","AD9850","SSOP-28_5.3x10.2mm_P0.65mm",162.375000,-71.400000,-90.000000,top
"U4","TPD2EUSB30","Texas_DRT-3",159.970000,-99.625000,180.000000,top
"U5","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",170.000000,-99.020000,180.000000,top
"Y1","12MHz 18pF","Crystal_SMD_3225-4Pin_3.2x2.5mm",167.100000,-86.980000,0.000000,top
"Y2","XO53","Oscillator_SMD_EuroQuartz_XO53-4Pin_5.0x3.2mm",161.380000,-64.500000,180.000000,top
